说话人:ID:日文原文,裁定,标准译文,出现章节数,裁定理由
アヴァロ:1:「え？」,UNIFY,「诶……？」,3,「え……？」是アヴァロ意外/困惑的语气词，「咦／诶」只是同义变体；角色为自然口语男性声线且两处均用「诶」，统一为「诶……？」（2×U+E000→……）。
アヴァロ:1:「そうか」,UNIFY,「这样啊……」,5,「そうか」是アヴァロ高频接话表态（角色语气文档定「そうか→这样啊」），「是吗／这样啊」为同义变体，按角色标准统一为「这样啊……」；「是吗」偏离其定型译法。
アヴァロ:1:「なにが？」,DIFFER,,2,「なにが？」是承接不同前句的反问——SC2150 回应「没问题」译「什么没问题？」，SC2180 回应「哪里不对」译「哪里不对？」，上下文不同、语义指向不同，确可不一样。
アヴァロ:1:「あ、ああ」,UNIFY,「……啊、啊啊」,2,"原文「あ、ああ」（a, aa）是アヴァロ的顿促感叹词，「啊啊」忠实还原两个音节；「嗯」改变了原音，故作准统一为「……啊、啊啊」。"
アヴァロ:1:「ああ」,UNIFY,「……嗯」,4,アヴァロ的「ああ」是带前导停顿的应声语气词，四处都是对上一句的点头应答，内容词各章已统一为「嗯」（SC0000 的「嗯」只是漏译前导停顿），按停顿符约定补上前导「……」为「……嗯」。
アヴァロ:1:「そうか」,UNIFY,「……这样啊」,12,「そうか」是アヴァロ口头禅，角色语气文档定译「这样啊」，各章「是吗／原来如此」虽承接不同前句但都是同一应声词，属同义变体，统一为「……这样啊」；与前序家族标准一致。
アヴァロ:1:「そっか」,UNIFY,「……这样啊」,4,「そっか」是「そうか」的口语形，同属「そうか」家族，沿用其译法「……这样啊」。
アヴァロ:1:「本当に？」,UNIFY,「……真的吗？」,2,SC2150 与 SP0680 都是アヴァロ的怀疑应声「真的？/真的吗？」，仅措辞微调、属同义变体，统一为「……真的吗？」以贴合角色「吗」式问法。
アヴァロ:1:「」,UNIFY,「…………」,80,本行为 4×U+E000 纯停顿省略号，按约定 U+E000 每 1 个→1 个「…」，故规范为「…………」；候选里「……」(不足)、「——」(误用破折号)、缺引号、多出字均统一。
アヴァロ:1:「ああ」,UNIFY,「…………嗯」,6,家族「ああ」前序已定「嗯」，本行沿用其词干；因 4×U+E000 按停顿约定扩为「…………」，故为「…………嗯」，并把「啊／啊啊／——嗯」统一到「嗯」。
アヴァロ:1:「え？」,UNIFY,「…………诶？」,2,家族「え？」前序已定「诶」，本行沿用「诶」；因 4×U+E000 在词前并扩为「…………」，故为「…………诶？」；SC0280「……咦？」少停顿又用「咦」，统一为「诶」。
アヴァロ:1:「そうか」,UNIFY,「…………这样啊」,3,家族「そうか」前序已定「这样啊」；アヴァロ口头禅「そうか→这样啊」。本行 4×U+E000 在词前，故为「…………这样啊」；SC2180「是吗」、SC2710「原来如此」统一到「这样啊」。
アヴァロ:1:「そっか」,UNIFY,「…………这样啊」,3,アヴァロ语气文档「そうか→这样啊」，家族前序已定「这样啊」；本行为 4×U+E000，只按停顿个数调整为「…………这样啊」；SC0620/SC1590「是吗」回修为「这样啊」。
アヴァロ:1:「っ」,UNIFY,「…………！」,9,逐段核对 9 处均为アヴァロ被噎住/失语的停顿感叹；按约定 4×U+E000→「…………」+「っ」收尾加「！」，统一为「…………！」；「唔……！」「……！」少停顿/多口癖需回修。
イオル:3:「」,UNIFY,「……」,2,该行为 2×U+E000 纯停顿，按约定译「……」；SC0500 已正确，SC5740 误作 4 点「…………」需回修。家族前序「…………」是 4 点版，此处只按 2 占位符调整。
イオル:3:「そう」,UNIFY,「……这样啊」,2,两处都是イオル对前句的应声认可，仅「是吗／这样啊」同义变体，应统一；源为 2×U+E000 须保留「……」停顿，故为「……这样啊」，并回修 SC0100「……是吗」与 SC0590 缺省停顿。
カトリト:a:「」,UNIFY,「……」,5,カトリト 2×U+E000 纯停顿默认为 2 点「……」；SC0070/SC0100/SC1620 已为此，唯 SC2130 旧译「——」违反 U+E000→「……」约定（角色语气文档已标注待回修），统一为「……」。
カトリト:a:「はい」,UNIFY,「……是」,2,カトリト礼貌端正的应答「はい」，取标准「……是」可通两处（唤名应答/对告诫谨记）；「……好」仅适告诫一处，故选「……是」并统一。
カトリト:a:「」,UNIFY,「…………」,7,4×U+E000 纯停顿为 4 点「…………」，与前序「」家族定案一致；SC1680/SC2190 已规范，SC0190 五处仅「……」点数不足，统一补足为「…………」。
カトリト:a:「っ」,UNIFY,「…………！」,2,4×U+E000+促音「っ」按前序「っ」家族定案为「…………！」；SC2710 已规范，SC0190 的「……」缺「！」且点数不足，统一为「…………！」。
キスニル:5:「」,UNIFY,「…………」,5,五处源脚本均为 4×U+E000 纯停顿，家族前序已定「…………」；SC0560 误用破折号「——」、SC1660 仅 2 点「……」均不符占位符长度，统一为「…………」。
フィア:2:「え？」,UNIFY,「诶……？」,2,两处源文本均为「え」+2×U+E000+「？」→「诶……？」，与家族前序（アヴァロ）「诶……？」一致；SC0010「咦……？」属「诶/咦」同义变体，且フィア两处均为困惑承接，统一沿用家族标准。
フィア:2:「うん」,UNIFY,「……嗯」,3,三处源脚本占位符均为 2×U+E000（非 U+E001~03 破折号），故应译「……嗯」而非「——嗯」；SC2560 误用「——嗯」不符合停顿符约定，统一为「……嗯」。
フィア:2:「」,UNIFY,「…………」,22,全部为 4×U+E000 纯停顿，家族前序已定「…………」；SC0190/SC0770 误作「……」只有 2 点、SC0710 缺引号，均须统一为「…………」。
フィア:2:「うん」,UNIFY,「…………嗯」,7,家族「うん」前序已定「……嗯」，本行原档核实为 4×U+E000，故按停顿约定应为「…………嗯」；SC2560 误将 U+E000 当 U+E002 译「——嗯」，改回「…………嗯」。
フィア:2:「っ」,UNIFY,「…………！」,4,家族「っ」前序已定「…………！」（アヴァロ/カトリト一致），フィア本家 SC1620/SC2210/SC2710 均为此；「っ」为短促倒吸气而非「唔」，SC0680「…………唔」统一为「…………！」。
フィア:2:「え」,UNIFY,「………………诶」,2,本行 6×U+E000 应为 6 个「…」即「………………诶」；「え」在フィア声线固定译「诶」（前序「え…？」→「诶……？」），SC0650「咦」属同义变体，按家族与角色声线统一为「诶」。
ミクシュアナ:9:「」,UNIFY,「…………」,14,纯停顿家族「」前序已定「…………」，本行各章原文均为 4×U+E000；$5$SC0370 少停顿（「……」只剩 2 点）需统一补足为「…………」。
ミクシュアナ:9:「はい」,UNIFY,「…………是」,2,該句两次出现均为ミクシュアナ沉默后轻声应答「はい」（一次接迪特赫尔姆告诫、一次应菲亚邀约），语境一致，仅「是的/是」措辞微调，应统一；家族「はい」前序已定「……是」，按 4×U+E000 调整为「…………是」；且其庄重自持，「是」比「是的」更贴其正式声线。
ロズリーヌ:7:「」,UNIFY,「…………」,7,该句为 4×U+E000 纯停顿，属家族「」；家族前序已定「…………」，按约定 4 点应为「…………」；$5$SC2860 现有「……」仅 2 点，停顿不足，修正为「…………」统一。
霊虚二舞イ人ノ傀:37:「」,UNIFY,「…………」,3,该句为 4×U+E000 纯停顿，属家族「」；家族前序已定「…………」；经查 SC2560 原文占位符为 U+E000×4（非 U+E002），故其现有「——」需改为「…………」，与 SC0070、SC4070 及各家族一致（该角色几乎不开口，沉默统一为「…………」）。
