文件名,说话人名称,说话人ID,日文原文,当前翻译,日文引号数,译文引号数,类别,说明
$3$SC6850,ユエラ,19,「ふう、無事に保護できたようだな」,……呼，看来总算平安保护下来了啊。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「まったく、どうしてこんな危ない場所に逃げ込んだんだ。私たちが居たから良かったものの。めっ、だぞ！」,真是的，怎么会逃进这么危险的地方。多亏有我们在……。不行哦！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「今のはこの子が鳴いたのか？」,……刚才那声，是这孩子叫出来的吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「ううん、違うところから聞こえたけれど」,不是啦，是从别处传来的……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「なんだか悲しそうな声だね。なにか困っているのかも」,总觉得那声音很悲伤呢。说不定是遇到什么麻烦了吧……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「こんな場所にいるだけでも困るだろう。怖くて震えているのかもしれないな」,……光是待在这种地方就已经够难受了吧。说不定正害怕得瑟瑟发抖呢。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「早く迎えに行ってあげないとね！」,得赶紧去接它才行呢！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「ああ、急がないとな！　どうやらこの迷宮には続きがあるようだ、そこも探索してみるぞ」,啊啊，得抓紧了……！看来这座迷宫还有延伸部分，也去那边探索一下吧。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「よし、捕まえたぞ。わ、こら暴れるな」,……好，抓住了。哇，喂喂，别乱扑腾！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「もう大丈夫だ、私たちがどんな敵からも守ると誓う」,已经没事了，我发誓，我们会从任何敌人手中保护你。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「えへへー、これで一件落着かな？　早く帰らないと、ここは危ないからね。アヴァロだって心配しているかも」,诶嘿嘿——这样就算圆满解决了吧？得快点回去才行，这里很危险呢。阿瓦罗说不定也会担心……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「と、思ったんだけど、まだ終わってないみたい」,……我本来是这么想的，不过看来还没结束呢。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「一体どれだけの猫が紛れ込んでいるのだ、この空間は」,这片空间里，到底混进了多少只猫啊……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「なんだか、声がか細いような。子猫なのかな？」,总觉得，叫声很细弱呢……。是小猫咪吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「それに一匹だけではない、何匹もいるようだ」,而且不止一只，好像有好几只。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「この助けを呼ぶような、必死な声。どうやらこの先に続いている空間から響いているようだ」,这像是求救般的、拼命的声音……。看来是从前方延伸出去的空间里传出来的。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「こ、この先の空間ってもっと危険になってるってことだよね？　大丈夫なのかな」,前、前方的空间……也就是说会变得更危险了对吧？真的没问题吗……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「そうだな、確実に物騒さの度合は増しているだろう。空間自体も不安定なうえに、現れる敵も輪にかけて凶暴なのは間違いない」,……是啊，危险程度肯定是有增无减。空间本身就不稳定，出现的敌人也更凶暴，这点毫无疑问。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「だが、私には助けを呼んで鳴いている猫を前にして<ruby>退<rt>ひ</rt></ruby>く選択などありえない。たとえこの身が滅びようとも、絶対に助けてみせる」,但是，面对呼救啼鸣的猫，我绝无退缩的可能。纵使此身毁灭，我也一定要救出它们！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「たかが猫、されど猫だ。ホクロの妖精の名にかけて、私は猫を救う」,不过是一只猫，却又不只是猫。以痣之妖精之名起誓，我必将拯救猫咪。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「神よ。こんな私に付き合って、くれるか？」,神啊……。愿意陪这样的我，一起去吗？,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「もちろんだよ！　私だって猫ちゃんを助けたいし、友達が危険な場所へ行くのに１人だけ帰るなんてあり得ない！」,当然啦！我也想去救小猫咪，而且朋友要去危险的地方，我却一个人回去，这种事绝不可能！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「私はいい友を持った。では行こう！　猫が助けを待っている！」,……我交到了好朋友。那么，出发吧！猫咪们正等着我们相助！,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「子猫たちも無事に保護できた。さすがにもう、この空間にいる猫はこれで最後のようだな」,小猫们也都平安救出来了。看来这片空间里的猫，这次总算是最后一批了。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,フィア,2,「良かった～。猫ちゃんたち、みんな無事だったんだね」,太好了～……。小猫咪们，大家都没事呢。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「お前は、温泉に入ってきた」,……你，是从温泉里进来的……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「なるほど、なんとか家族を助け出そうと、私の元を訪れたのだな」,原来如此，你是想方设法要救出家人，才来我这里的啊。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「猫が好きという話を聞いて飛び込んできたのか？　まったく」,是听说了我喜欢猫，才跳进来的吗？真是的……,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「私たちが間に合ったから良かったものの、もうこんな危険な真似は控えてくれ。下手をすれば、お前もやられてしまったかもしれないのだぞ」,幸好我们赶上了，不过别再干这么危险的事了。一个不小心，你也会没命的。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
$3$SC6850,ユエラ,19,「反省しているならばいい。本当に、無事で良かった」,……知道反省就好。真的，平安无事就好。,2,0,LOST,日文有「」/『』引号但译文完全没有任何引号字形（含中文弯引号），引号丢失
